epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9918,0.91859,3.15863,1.17892,0.02938,0.777,0.1051,0.07502,1.04187,3.85107,1.09551,0.00032716,0.00032716,0.0676111
2,54.1634,0.66513,2.246,1.02652,0.33836,0.38316,0.23796,0.20424,0.64547,3.27475,0.88139,0.000647416,0.000647416,0.034598
3,81.2122,0.57971,2.06326,0.99642,0.33397,0.626,0.41964,0.36986,0.55344,3.4263,0.84535,0.000954472,0.000954472,0.00157176
4,107.675,0.56606,1.95957,0.99211,0.31905,0.8247,0.46997,0.44758,0.35612,3.47349,0.80662,0.0009406,0.0009406,0.0009406
5,132.765,0.51838,1.88491,0.97889,0.41598,0.69466,0.43296,0.38832,0.54964,3.87469,0.84747,0.0009208,0.0009208,0.0009208
6,156.629,0.49381,1.82632,0.97248,0.5735,0.71459,0.6284,0.57713,0.43032,3.18079,0.817,0.000901,0.000901,0.000901
7,180.661,0.47831,1.74823,0.97051,0.44947,0.70783,0.6041,0.55065,0.46831,3.13012,0.8185,0.0008812,0.0008812,0.0008812
8,208.968,0.44672,1.70167,0.96268,0.65665,0.64911,0.78118,0.73928,0.32437,2.67189,0.79792,0.0008614,0.0008614,0.0008614
9,237.338,0.4336,1.63804,0.96065,0.59325,0.71562,0.80169,0.70443,0.60698,3.35963,0.84083,0.0008416,0.0008416,0.0008416
10,265.914,0.4394,1.59349,0.95736,0.70847,0.6267,0.74364,0.71806,0.37467,2.98203,0.80433,0.0008218,0.0008218,0.0008218
11,294.73,0.42735,1.53866,0.95496,0.74553,0.87076,0.93586,0.83947,0.55501,2.14556,0.82293,0.000802,0.000802,0.000802
12,334.115,0.44349,1.50477,0.95717,0.84635,0.88159,0.92442,0.8332,0.41891,2.59617,0.80569,0.0007822,0.0007822,0.0007822
13,369.143,0.40789,1.44412,0.94881,0.84436,0.89956,0.9404,0.91396,0.33889,2.45988,0.8001,0.0007624,0.0007624,0.0007624
14,397.326,0.40277,1.39211,0.94958,0.80454,0.89476,0.94557,0.87831,0.38988,2.22298,0.80174,0.0007426,0.0007426,0.0007426
15,424.942,0.40034,1.34934,0.94839,0.8488,0.83848,0.92141,0.89584,0.35584,2.00334,0.79979,0.0007228,0.0007228,0.0007228
16,450.349,0.38873,1.33202,0.94274,0.84433,0.9258,0.95271,0.89962,0.37683,2.32897,0.80049,0.000703,0.000703,0.000703
17,477.071,0.37549,1.28253,0.94713,0.94032,0.83322,0.97256,0.87796,0.44926,2.43896,0.80658,0.0006832,0.0006832,0.0006832
18,501.661,0.38106,1.24932,0.94333,0.85293,0.92189,0.94951,0.91294,0.32226,1.94785,0.78988,0.0006634,0.0006634,0.0006634
19,527.673,0.39663,1.22867,0.95083,0.91169,0.96776,0.97968,0.972,0.24865,1.60666,0.78504,0.0006436,0.0006436,0.0006436
20,551.102,0.36602,1.19025,0.94198,0.96911,0.94299,0.97854,0.91024,0.40066,1.79629,0.80231,0.0006238,0.0006238,0.0006238
21,577.819,0.36321,1.16427,0.94028,0.93485,0.92955,0.96957,0.95103,0.28047,1.92971,0.78317,0.000604,0.000604,0.000604
22,601.367,0.3438,1.15169,0.94042,0.97086,0.92824,0.98218,0.88589,0.44519,2.32474,0.80319,0.0005842,0.0005842,0.0005842
23,626.624,0.34556,1.13389,0.9399,0.93623,0.85477,0.96153,0.86575,0.47461,2.11325,0.80995,0.0005644,0.0005644,0.0005644
24,652.458,0.35348,1.10074,0.941,0.96756,0.97455,0.9935,0.93028,0.39069,1.47737,0.80109,0.0005446,0.0005446,0.0005446
25,675.263,0.35015,1.0698,0.9339,0.96375,0.96225,0.9871,0.9752,0.24871,1.56783,0.7854,0.0005248,0.0005248,0.0005248
26,702.21,0.33873,1.07757,0.9402,0.92903,0.94366,0.9809,0.95477,0.32453,1.40315,0.78975,0.000505,0.000505,0.000505
27,729.216,0.33352,1.04536,0.93689,0.95348,0.98254,0.99094,0.94393,0.35361,1.47255,0.79714,0.0004852,0.0004852,0.0004852
28,756.479,0.33733,1.03419,0.93688,0.96325,0.91295,0.96963,0.88338,0.45107,1.64522,0.81164,0.0004654,0.0004654,0.0004654
29,782.451,0.32651,0.99454,0.93405,0.97962,0.94774,0.99097,0.94553,0.33404,1.63587,0.79079,0.0004456,0.0004456,0.0004456
30,805.537,0.31513,0.98313,0.93192,0.98246,0.97,0.98531,0.95176,0.34518,1.57445,0.7923,0.0004258,0.0004258,0.0004258
31,829.235,0.31622,0.94868,0.93261,0.96789,0.98292,0.99357,0.94567,0.36643,1.57838,0.79443,0.000406,0.000406,0.000406
32,858.928,0.32041,0.96239,0.93193,0.95539,0.96315,0.98082,0.96539,0.29226,1.82146,0.7824,0.0003862,0.0003862,0.0003862
33,884.556,0.30383,0.92962,0.92989,0.98087,0.98488,0.99107,0.95877,0.34317,1.65986,0.78773,0.0003664,0.0003664,0.0003664
34,909.374,0.29518,0.92241,0.93289,0.98133,0.94712,0.99116,0.89452,0.42707,1.95516,0.79602,0.0003466,0.0003466,0.0003466
35,933.865,0.29787,0.92011,0.92937,0.98939,0.99264,0.995,0.96263,0.34331,1.30436,0.78853,0.0003268,0.0003268,0.0003268
36,959.237,0.28616,0.88769,0.92993,0.98632,0.97183,0.99375,0.90559,0.39909,1.78989,0.79,0.000307,0.000307,0.000307
37,981.658,0.29702,0.89528,0.93358,0.97741,0.98284,0.99098,0.95315,0.369,1.61136,0.79098,0.0002872,0.0002872,0.0002872
38,1005.05,0.28631,0.88235,0.92944,0.98639,0.99032,0.99153,0.98272,0.28635,1.482,0.78137,0.0002674,0.0002674,0.0002674
